,CLICK_COUNT
0,1013
1,1115
2,884
3,192
4,312
5,1308
6,990
7,292
8,158
9,233
10,151
11,850
12,438
13,187
14,277
15,677
16,241
17,266
18,233
19,116
20,179
21,309
22,272
23,481
24,1525
25,667
26,177
27,244
28,1195
29,157
30,979
31,878
32,205
33,610
34,1029
35,580
36,918
37,394
38,573
39,144
40,688
41,194
42,319
43,1520
44,520
45,303
46,261
47,635
48,227
49,664
50,236
51,201
52,337
53,237
54,296
55,445
56,1041
57,181
58,271
59,265
60,649
61,172
62,273
63,1054
64,307
65,428
66,213
67,616
68,225
69,208
70,309
71,1319
72,651
73,434
74,434
75,220
76,669
77,222
78,500
79,149
80,103
81,1392
82,989
83,707
84,444
85,595
86,310
87,310
88,334
89,172
90,142
91,282
92,143
93,215
94,965
95,1456
96,373
97,871
98,593
99,213
100,302
101,303
102,371
103,252
104,666
105,111
106,739
107,1473
108,295
109,227
110,147
111,187
112,108
113,102
114,644
115,945
116,178
117,428
118,283
119,1133
120,421
121,178
122,201
123,360
124,148
125,145
126,1058
127,245
128,747
129,523
130,103
131,354
132,306
133,744
134,159
135,103
136,149
137,427
138,692
139,214
140,301
141,172
142,195
143,143
144,222
145,406
146,153
147,325
148,1107
149,276
150,1220
151,258
152,260
153,290
154,330
155,1755
156,254
157,551
158,683
159,287
160,214
161,1063
162,500
163,232
164,320
165,750
166,184